持股人,公司,分数
69,72,2.2938097
85,46,-5.0371103
10,88,-15.562328
6,77,0.163487
36,51,-1.8036151
165,86,-12.006962
14,62,5.0220137
27,65,-6.9276443
106,39,-3.1821892
61,64,-1.6859785
65,33,-18.906673
123,16,-6.047925
85,84,-3.1821876
82,52,-29.67837
41,18,4.626572
37,77,0.16348319
86,26,-3.1821914
141,54,-46.74619
149,67,-3.1821868
107,14,-15.187476
44,83,-1.3505524
41,51,-1.8036166
65,71,-7.9478536
62,39,-3.1821876
150,40,-6.6411695
94,53,-3.1821868
158,25,-3.1821852
102,38,-53.41089
15,84,-3.1821895
23,69,-3.1821828
57,63,-1.7138822
115,46,-5.0371103
119,15,-6.457616
74,12,-3.5667877
70,71,-7.9478574
74,40,-6.64117
137,53,-3.1821868
95,0,-3.588049
134,21,-3.1821847
166,52,-29.678368
130,10,-78.55549
137,86,-12.006964
95,33,-18.906675
166,85,-1.9399134
116,21,-3.1821892
50,58,-1.5599989
3,39,-3.1821895
74,78,-2.4012787
90,52,-29.678368
8,23,-3.9590507
8,51,-1.8036166
11,83,-1.3505505
103,60,-1.4212602
146,22,-3.1821873
38,6,-3.2746506
111,45,-4.811957
111,73,-2.8227272
45,82,-3.0124686
66,70,-3.1821887
67,7,-0.7467681
124,81,-3.1821868
62,59,-1.8580563
83,19,-2.879473
83,47,-3.8814714
146,60,-1.4212583
38,44,-3.4851062
38,72,2.293809
139,17,-4.5199003
20,24,-3.1821892
16,83,-1.3505526
46,57,-3.1821868
147,2,-124.97338
104,40,-6.6411657
120,14,-15.187474
4,61,-11.964678
59,65,-6.927646
75,39,-3.1821914
155,46,-5.037112
34,5,-3.9930787
134,41,-3.2402933
91,79,-3.874306
159,20,-3.1821868
20,90,0.058073096
17,58,-1.5599989
100,1,-2.338548
47,13,-5.241817
124,21,-3.1821868
120,80,-2.5611286
54,89,-3.086322
55,26,-3.1821895
116,41,-3.2402987
113,9,-56.206448
75,77,0.16348062
71,66,-2.0752206
31,11,-4.4758587
131,47,-3.8814714
92,54,-46.74619
12,82,-3.0124707
135,16,-6.047925
163,78,-2.4012766
34,76,-3.182185
47,79,-3.874306
29,31,-4.7732973
55,64,-1.6859759
0,81,-3.1821847
84,46,-5.0371103
87,78,-2.4012785
127,8,-2.8735847
9,18,4.626572
43,12,-3.5667877
100,86,-12.006966
143,48,-34.59207
112,40,-6.64117
109,8,-2.8735867
5,60,-1.4212633
64,5,-3.9930787
64,33,-18.906677
67,65,-6.9276447
125,48,-34.59207
127,46,-5.037112
156,45,-4.811957
159,77,0.16348253
80,73,-2.8227296
96,47,-3.8814678
144,23,-3.9590528
25,30,-2.00216
21,89,-3.086322
160,19,-2.8794708
36,7,-0.7467685
17,78,-2.4012806
43,83,-1.3505545
125,20,-3.1821873
25,63,-1.7138803
64,71,-7.9478536
80,45,-4.811957
72,65,-6.927646
139,47,-3.8814697
96,85,-1.9399115
